id, artist, album, label, year
50,Lennie Tristano, Tristano, Atlantic, 1955
51,John Zorn, Naked City, Elektra/Nonesuch, 1989
52,John McLaughlin, Extrapolation, Marmalade, 1969
53,Pharoah Sanders, Karma, Impulse!, 1969
54,Lester Young, Lester Young/Buddy Rich Trio, Verve, 1946
55,John Coltrane, Ascension, Impulse!, 1965
56,Art Ensemble of Chicago, A Jackson in Your House, BYG Actuel, 1969
57,Horace Silver, Song for My Father, Blue Note, 1963
58,Clifford Brown/Max Roach Quintet, Clifford Brown and Max Roach, EmArcy, 1954
59,Coleman Hawkins, Body and Soul, RCA Bluebird, 1939
60,Peter Brötzmann Octet, Machine Gun, FMP, 1969
61,Miles Davis, Birth of the Cool, Capitol, 1949
62,Count Basie, The Atomic Mr. Basie, Roulette, 1957
63,Archie Shepp, Four for Trane, Impulse!, 1964
64,Brad Mehldau, Art of the Trio Vol. 3, Warner, 1998
65,Gerry Mulligan, Gerry Mulligan Quartet, Pacific Jazz, 1952
66,Gil Evans, The Individualism of Gil Evans, Verve, 1963/64
67,John Handy, Live at Monterey Jazz Festival, Columbia, 1965
68,Esbjörn Svensson Trio, From Gagarin’s Point of View, ACT, 1999
69,Stan Tracey, Jazz Suite Inspired by Dylan Thomas’ Under Milk Wood, EMI/Columbia, 1965
70,Dollar Brand (Abdullah Ibrahim), African Marketplace, Elektra/Musician, 1980
71,Wayne Shorter, Speak No Evil, Blue Note, 1964
72,Thelonious Monk, Genius of Modern Music – Vol 1, Blue Note, 1947
73,Roland Kirk, Rip Rig and Panic, Limelight, 1965
74,Herbie Hancock, The New Standard, Verve, 1996
75,Oscar Peterson, Night Train, Verve, 1962
76,Charles Lloyd, Dream Weaver, Atlantic, 1965
77,Art Tatum, The Genius of Art Tatum No. 1, Clef, 1953
78,Betty Carter, The Audience with Betty Carter, Betcar, 1979
79,Oliver Nelson, The Blues and the Abstract Truth, Impulse!, 1961
80,John Surman, Tales of the Algonquin, Deram, 1971
81,Eberhard Weber, The Colours of Chloë, ECM, 1973
82,Steve Coleman and the Five Elements, The Tao of Mad Phat: Fringe Zones, RCA/Novus, 1993
83,Diana Krall, Love Scenes, Impulse!, 1997
84,Anthony Braxton, For Alto, Delmark, 1969
85,Krzysztof Komeda, Astigmatic, Nagrania Muza, 1965
86,Steps Ahead, Steps Ahead, Elektra/Musician, 1983
87,Django Reinhardt, Rétrospective 1934–53, Saga, 1934
88,Joe Harriott-John Mayer Double Quintet, Indo-Jazz Suite, EMI Columbia, 1965
89,Jackie McLean, Let Freedom Ring, Blue Note, 1962
90,Charlie Haden, Liberation Music Orchestra, Impulse! Records, 1969
91,Music Improvisation Company, Music Improvisation Company, ECM, 1970
92,Sarah Vaughan, Sarah Vaughan with Clifford Brown, EmArcy, 1954
93,Jan Johansson, Jazz på svenska, Megafon, 1962
94,Cassandra Wilson, Blue Light ’Til Dawn, Blue Note, 1993
95,Wynton Marsalis, Black Codes from the Underground, Columbia, 1985
96,Medeski, Martin & Wood Combustication, Blue Note, 1998
97,Tomasz Stańko, Soul of Things, ECM, 2001
98,Courtney Pine, Journey to the Urge Within, Antilles, 1986
99,The Bad Plus, These Are the Vistas, Columbia, 2005
100,Polar Bear, Held On the Tips of Fingers, Babel, 2004
